Wavelength (nm);Optical Density;% Transmission
200;6.126965;7.46509E-05
201;6.107438;0.000078084
202;6.060851;8.69259E-05
203;5.981024;0.000104466
204;6.008357;9.80941E-05
205;5.936309;0.000115795
206;5.850198;0.000141189
207;5.90792;0.000123618
208;5.952506;0.000111556
209;5.907473;0.000123745
210;5.987947;0.000102814
211;5.978664;0.000105035
212;5.93918;0.000115032
213;5.902948;0.000125041
214;5.964566;0.000108501
215;5.930218;0.000117431
216;5.862377;0.000137285
217;5.869044;0.000135194
218;5.950759;0.000112006
219;5.938003;0.000115345
220;5.996015;0.000100922
221;5.963771;0.0001087
222;5.901994;0.000125316
223;5.938347;0.000115253
224;5.910416;0.000122909
225;5.866093;0.000136115
226;5.87346;0.000133826
227;5.896004;0.000127056
228;5.915777;0.000121401
229;5.908186;0.000123542
230;5.916306;0.000121253
231;5.908789;0.00012337
232;5.868372;0.000135403
233;5.865155;0.00013641
234;5.917361;0.000120959
235;5.94602;0.000113235
236;5.92534;0.000118757
237;5.91346;0.000122051
238;5.887084;0.000129693
239;5.82229;0.00015056
240;5.85881;0.000138417
241;5.879968;0.000131835
242;5.862073;0.000137381
243;5.819081;0.000151677
244;5.838411;0.000145074
245;5.89469;0.000127441
246;5.906113;0.000124133
247;5.887521;0.000129562
248;5.887799;0.000129479
249;5.895296;0.000127264
250;5.888071;0.000129398
251;5.888438;0.000129289
252;5.870543;0.000134728
253;5.874213;0.000133594
254;5.889056;0.000129105
255;5.904177;0.000124688
256;5.900372;0.000125785
257;5.91991;0.000120251
258;5.885903;0.000130046
259;5.850998;0.00014093
260;5.837791;0.000145281
261;5.878849;0.000132176
262;5.875115;0.000133317
263;5.847542;0.000142055
264;5.850759;0.000141007
265;5.833882;0.000146595
266;5.843677;0.000143325
267;5.878267;0.000132353
268;5.863841;0.000136823
269;5.874195;0.0001336
270;5.903704;0.000124823
271;5.881318;0.000131426
272;5.870508;0.000134739
273;5.892281;0.00012815
274;5.867067;0.00013581
275;5.860191;0.000137978
276;5.903811;0.000124793
277;5.878143;0.000132391
278;5.878167;0.000132383
279;5.91969;0.000120312
280;5.90058;0.000125725
281;5.867994;0.000135521
282;5.878823;0.000132183
283;5.861296;0.000137627
284;5.828278;0.000148498
285;5.883025;0.000130911
286;5.905346;0.000124352
287;5.858624;0.000138476
288;5.85893;0.000138379
289;5.891144;0.000128486
290;5.863083;0.000137062
291;5.863123;0.000137049
292;5.870132;0.000134855
293;5.866835;0.000135883
294;5.910938;0.000122761
295;5.88148;0.000131377
296;5.864047;0.000136758
297;5.896433;0.000126931
298;5.904071;0.000124718
299;5.919634;0.000120328
300;5.908285;0.000123514
301;5.901022;0.000125597
302;5.886507;0.000129865
303;5.841849;0.00014393
304;5.862104;0.000137371
305;5.845666;0.00014267
306;5.866001;0.000136144
307;5.869651;0.000135005
308;5.852848;0.00014033
309;5.836614;0.000145675
310;5.846595;0.000142366
311;5.853675;0.000140064
312;5.837328;0.000145436
313;5.89585;0.000127101
314;5.881519;0.000131365
315;5.837813;0.000145274
316;5.828568;0.000148399
317;5.851436;0.000140787
318;5.882772;0.000130987
319;5.853261;0.000140197
320;5.892461;0.000128097
321;5.942323;0.000114203
322;5.903396;0.000124912
323;5.903478;0.000124888
324;5.930697;0.000117301
325;5.896633;0.000126872
326;5.89315;0.000127894
327;5.981153;0.000104435
328;5.942993;0.000114027
329;5.897346;0.000126664
330;5.897346;0.000126664
331;5.865975;0.000136152
332;5.939643;0.00011491
333;5.927882;0.000118064
334;5.948247;0.000112656
335;5.952884;0.000111459
336;5.909419;0.000123192
337;5.93678;0.00011567
338;5.953182;0.000111383
339;5.906196;0.000124109
340;5.929289;0.000117682
341;5.94523;0.000113441
342;5.958114;0.000110125
343;5.907109;0.000123849
344;5.864699;0.000136553
345;5.922598;0.000119509
346;5.950511;0.00011207
347;5.915291;0.000121537
348;5.896794;0.000126825
349;5.927258;0.000118234
350;5.869153;0.00013516
351;5.897546;0.000126606
352;5.94752;0.000112844
353;5.924007;0.000119122
354;5.853302;0.000140184
355;5.877025;0.000132732
356;5.913046;0.000122167
357;5.928332;0.000117942
358;5.932345;0.000116857
359;5.9097;0.000123112
360;5.881187;0.000131466
361;5.917494;0.000120922
362;5.91008;0.000123004
363;5.844793;0.000142958
364;5.832388;0.0001471
