Wavelength (nm);Optical Density;% Transmission
200;6.155894;6.98403E-05
201;6.205938;6.22389E-05
202;6.176374;6.66233E-05
203;6.18324;6.55783E-05
204;6.080337;8.31119E-05
205;6.031559;9.2991E-05
206;6.02625;9.41348E-05
207;6.031233;9.30608E-05
208;6.041271;9.09346E-05
209;6.025449;9.43085E-05
210;6.046135;8.99218E-05
211;6.030386;9.32425E-05
212;5.972794;0.000106465
213;6.029876;9.33521E-05
214;6.029458;9.3442E-05
215;6.034207;9.24258E-05
216;6.013785;9.68757E-05
217;6.033703;9.25331E-05
218;6.071331;8.48534E-05
219;5.975417;0.000105824
220;5.993754;0.000101449
221;5.975345;0.000105841
222;6.013265;9.69918E-05
223;6.100552;7.93319E-05
224;6.013637;9.69088E-05
225;5.999421;0.000100133
226;6.004533;9.89617E-05
227;5.995179;0.000101116
228;6.009905;9.77451E-05
229;6.025177;9.43676E-05
230;6.015615;9.64684E-05
231;6.091065;8.1084E-05
232;6.168126;6.79007E-05
233;6.074262;8.42826E-05
234;6.011414;9.74061E-05
235;5.987878;0.000102831
236;5.997256;0.000100634
237;6.026753;9.40258E-05
238;6.092137;8.08841E-05
239;6.069228;8.52652E-05
240;5.983622;0.000103843
241;5.983647;0.000103837
242;5.94031;0.000114733
243;5.948616;0.00011256
244;6.086253;8.19874E-05
245;6.155218;6.99491E-05
246;6.080866;8.30107E-05
247;5.993313;0.000101552
248;5.997935;0.000100477
249;6.037585;9.17096E-05
250;6.027596;9.38435E-05
251;5.989271;0.000102501
252;5.94573;0.00011331
253;5.976111;0.000105655
254;5.9673;0.00010782
255;5.976303;0.000105608
256;6.076731;8.38048E-05
257;6.039107;9.13888E-05
258;5.999687;0.000100072
259;6.00916;9.79129E-05
260;5.946315;0.000113158
261;5.980985;0.000104476
262;6.008994;9.79504E-05
263;5.963202;0.000108842
264;5.958664;0.000109986
265;5.967212;0.000107842
266;5.949872;0.000112235
267;5.937316;0.000115527
268;5.945499;0.000113371
269;6.038061;9.16092E-05
270;6.032734;9.27398E-05
271;5.932688;0.000116765
272;5.989025;0.000102559
273;6.003105;9.92876E-05
274;5.924695;0.000118934
275;5.979797;0.000104762
276;5.998348;0.000100381
277;5.971161;0.000106866
278;5.98033;0.000104633
279;5.93321;0.000116625
280;5.933416;0.000116569
281;5.967375;0.000107802
282;5.980782;0.000104524
283;5.999255;0.000100172
284;5.994808;0.000101203
285;6.039357;9.13362E-05
286;5.986019;0.000103272
287;5.926518;0.000118436
288;5.977418;0.000105337
289;5.986572;0.00010314
290;5.951679;0.000111769
291;5.960442;0.000109536
292;5.97381;0.000106216
293;5.996725;0.000100757
294;5.960856;0.000109432
295;5.978605;0.00010505
296;6.006444;9.85272E-05
